;Бренд;Артикул;Название;Символьный код;Изображение;Макс. мощность, кВА;Номин. мощность, кВА;Количество фаз;Тип;Объем бака, л;Электростартер;Двигатель;Альтернатор;Вес, кг;Габариты, см (ДхШхВ);Гарантия;"Дополнительная
информация";РРЦ;Описание
;Zongshen;1T90DFQ20;Zongshen BQH 2000 генератор бензиновый;zongshen-bqh-2000-generator-benzinovyj;bqh2000_1.JPG;1,9;1,7;одна;бензиновый;4;нет;"Zongshen
148 FD/P
(79 cc)";Zongshen;18,3;44 х 29 х 45;2 года;1 розетка (16A), выход на 12V, разъем для параллельнго подключения инверторов, возможность перехода на экономный режим;35990;"Генератор бензиновый Zongshen BQH 2000 предназначен для подключения к нему потребителей тока общей максимальной мощностью до 1,8 кВт. Благодаря использованию в этой модели инверторного преобразователя, к бензогенератору BQH2000 можно напрямую подключать компьютеры, планшеты, смартфоны и другую технику, чувствительную к качеству электрического тока. Зонгшен BQH 2000 весит всего 18 кг и помещается в багажник любого автомобиля. Все вышеперечисленное делает эту компактную переносную электростанцию просто незаменимой при выездах на природу, пикниках, натурных кино- и видеосъемках, а также везде, где нет возможности подключиться к стационарной электросети. Конструкция генератора позволяет легко сменить все расходные материалы и произвести замену масла в двигателе.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.

Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
;Zongshen;1T90DFB40; Zongshen BPB 4000 генератор бензиновый;zongshen-bpb-4000-generator-benzinovyj;bpb4000_1.JPG;3,8;3,5;одна;бензиновый;10;нет;"Zongshen
GB 225
(223 cc)";Zongshen;34;53 х 35 х48;2 года;2 розетки (16A), выход на 12V, возможность перехода на экономный режим;34990;
;Zongshen;1T90DFB41; Zongshen BPB 4000 E генератор бензиновый;zongshen-bpb-4000-e-generator-benzinovyj;bpb4000e_1.JPG;3,8;3,5;одна;бензиновый;10;есть;"Zongshen
GB 225
(223 cc)";Zongshen;38;53 х 35 х48;2 года;2 розетки (16A), выход на 12V, возможность перехода на экономный режим + электростартер;39990;
;Zongshen;1T90DF130; Zongshen PH 1800 генератор бензиновый;zongshen-ph-1800-generator-benzinovyj;ph1800_1.JPG;1,5;1,2;одна;бензиновый;6;нет;"Zongshen
NH 150";Zongshen;26;50 х 35 х 37;2 года;1 розетка (16A) + AVR;15990;"Электрогенератор ZONGSHEN PH 1800 – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 1,5 кВА. Силовым агрегатом данной модели является надежный четырехтактный двигатель ZONGSHEN NH150. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 6 литров, что дает достаточно долгую непрерывную работу. Уровень шума при работе генератора составляет всего порядка 70 дБ. Данная модель идеально подходит как для дома, так и для малого бизнеса. Имеет компактный размер (500х350х370 мм) и небольшой вес (26 кг).

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
;Zongshen;1T90DF201; Zongshen PB 2500 генератор бензиновый;zongshen-pb-2500-generator-benzinovyj;pb_2500_1.JPG;2,2;2;одна;бензиновый;13;нет;"Zongshen
GB 210
(208 cc)";Zongshen;43;59 х 43 х 44;2 года;2 розетки (16A) + AVR;18990;
;Zongshen;1T90DF332; Zongshen PB 3300 генератор бензиновый;zongshen-pb-3300-generator-benzinovyj;pb_3300_1.JPG;3;2,8;одна;бензиновый;13;нет;"Zongshen
GB 210
(208 cc)";Zongshen;44;59 х 43 х 44;2 года;"счетчик моточасов +
2 розетки (16A) + AVR ";21990;
;Zongshen;1T90DF333; Zongshen PB 3300 E генератор бензиновый;zongshen-pb-3300-e-generator-benzinovyj;pb_3300_1.JPG;3;2,8;одна;бензиновый;13;есть;"Zongshen
GB 210 E
(208 cc)";Zongshen;48;59 х 43 х 44;2 года;"счетчик моточасов +
2 розетки (16A) + AVR + электростартер";26990;
;Zongshen;1T90DF502; Zongshen PB 5000 генератор бензиновый;zongshen-pb-5000-generator-benzinovyj;pb_5000_1.JPG;4,5;4;одна;бензиновый;13;нет;"Zongshen
GB 270
(272 cc)";Zongshen;55;59 х 43 х 44;2 года;"счетчик моточасов +
2 розетки (16A) + AVR";32990;
;Zongshen;1T90DF503; Zongshen PB 5000 E генератор бензиновый;zongshen-pb-5000-e-generator-benzinovyj;pb_5000_e_1.JPG;4,5;4;одна;бензиновый;13;есть;"Zongshen
GB 270 E
(272 cc)";Zongshen;59;59 х 43 х 44;2 года;"счетчик моточасов +
2 розетки (16A) + AVR + электростартер";37990;
;Zongshen;1T90DF603; Zongshen PB 6000 генератор бензиновый;zongshen-pb-6000-generator-benzinovyj;pb_6000_1.JPG;5,5;5;одна;бензиновый;23;нет;"Zongshen
GB 420
(420 cc)";Zongshen;79;69 х 53 х 56;2 года;счетчик моточасов + розетка (16A) + силовая розетка (32А) +  AVR;36990;
;Zongshen;1T90DF604; Zongshen PB 6000 E генератор бензиновый;zongshen-pb-6000-e-generator-benzinovyj;pb_6000_e_1.JPG;5,5;5;одна;бензиновый;23;есть;"Zongshen
GB 420 E
(420 cc)";Zongshen;87;69 х 53 х 56;2 года;счетчик моточасов +  розетка (16A) + силовая розетка (32А) + AVR + электростартер;41990;
;Zongshen;1T90DF705; Zongshen PB 7000 генератор бензиновый;zongshen-pb-7000-generator-benzinovyj;pb_7000_1.JPG;6,5;6;одна;бензиновый;23;нет;"Zongshen
GB 420
(420 cc)";Zongshen;85;69 х 53 х 56;2 года;счетчик моточасов + розетка (16A) + силовая розетка (32А) +  AVR;40990;
;Zongshen;1T90DF706; Zongshen PB 7000 E генератор бензиновый;zongshen-pb-7000-e-generator-benzinovyj;pb_7000_e_1.JPG;6,5;6;одна;бензиновый;23;есть;"Zongshen
GB 420 E
(420 cc)";Zongshen;94;69 х 53 х 56;2 года;счетчик моточасов +  розетка (16A) + силовая розетка (32А) + AVR + электростартер;45990;
;Zongshen;1T90DF200; Zongshen KB 2500 генератор бензиновый;zongshen-kb-2500-generator-benzinovyj;kb_2500_1.JPG;2,2;2;одна;бензиновый;15;нет;"Zongshen
GB 210
(208 cc)";Zongshen;45;59 х 44 х 50;2 года;2 розетки (16A) + AVR + колеса для транспорт-ки в комплекте;21990;"Электрогенератор ZONGSHEN KB 2500 – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 2,2 кВА. Силовым агрегатом данной модели является надежный четырехтактный двигатель ZONGSHEN GB 210. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 15 литров, что дает примерно 14 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет всего порядка 70 дБ. Данная модель идеально подходит как для дома, так и для малого бизнеса. Оснащена транспортировочным комплектом с колесами и 2-мя розетками, имеет компактный размер (627х554х557 мм) и небольшой вес (45 кг).

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
;Zongshen;1T90DF330; Zongshen KB 3300 генератор бензиновый;zongshen-kb-3300-generator-benzinovyj;kb_3300_1.JPG;3;2,8;одна;бензиновый;15;нет;"Zongshen
GB 210
(208 cc)";Zongshen;50;59 х 44 х 50;2 года;"счетчик моточасов +
2 розетки (16A) + AVR + колеса для транспорт-ки в комплекте";24990;"Электрогенератор ZONGSHEN KB 3300 – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 3 кВА. Силовым агрегатом данной модели является надежный четырехтактный двигатель ZONGSHEN GB210. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 15 литров, что дает примерно 10 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 74,5 дБ. Данная модель идеально подходит как для дома, так и для малого бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов и 2-мя розетками, имеет размер (590х440х500 мм) и вес (50 кг). Гарантия составляет 2 года.
Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.
Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)"
;Zongshen;1T90DF331; Zongshen KB 3300E генератор бензиновый;zongshen-kb-3300e-generator-benzinovyj;kb_3300_e_1.JPG;3;2,8;одна;бензиновый;15;есть;"Zongshen
GB 210 E
(208 cc)";Zongshen;55;59 х 44 х 50;2 года;"счетчик моточасов +
2 розетки (16A) + AVR + электростартер + колеса для транспорт-ки в комплекте";29990;"Электрогенератор ZONGSHEN KB 3300 E – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 3 кВА. Силовым агрегатом данной модели является четырехтактный двигатель ZONGSHEN ZS170FE. Генератор оснащен электрическим запуском. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 15 литров, что дает примерно 10 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 76,5 дБ. Данная модель идеально подходит как для дома, так и для малого или среднего бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов, электростартером и 2-мя розетками, имеет размер (590x440x500 мм) и вес (55 кг). Гарантия составляет 2 года.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
;Zongshen;1T90DF500; Zongshen KB 5000 генератор бензиновый;zongshen-kb-5000-generator-benzinovyj;kb_5000_1.JPG;4,5;4;одна;бензиновый;32;нет;"Zongshen
GB 270
(272 cc)";Zongshen;70;70 х 53 х 59;2 года;"счетчик моточасов +
2 розетки (16A) + AVR + колеса для транспорт-ки в комплекте";35990;"Электрогенератор ZONGSHEN KB 5000 – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 4,5 кВА. Силовым агрегатом данной модели является надежный четырехтактный двигатель ZONGSHEN GB 270. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 32 литра, что дает примерно 14 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 74,5 дБ. Данная модель идеально подходит как для дома, так и для малого бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов и 2-мя розетками, имеет размер (742х673х669 мм) и вес (70 кг). Гарантия составляет 2 года.
Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.
Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)"
;Zongshen;1T90DF501; Zongshen KB 5000 E генератор бензиновый;zongshen-kb-5000-e-generator-benzinovyj;kb_5000_e_1.JPG;4,5;4;одна;бензиновый;32;есть;"Zongshen
GB 270 E
(272 cc)";Zongshen;77;70 х 53 х 59;2 года;"счетчик моточасов +
2 розетки (16A) + AVR + электростартер + колеса для транспорт-ки в комплекте";40990;"Электрогенератор ZONGSHEN KB 5000 E – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 4,5 кВА. Силовым агрегатом данной модели является четырехтактный двигатель ZONGSHEN ZS 182 F. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 32 литра, что дает примерно 14 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 74,5 дБ. Данная модель идеально подходит как для дома, так и для малого бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов и 2-мя розетками, имеет размер (742x673x669 мм) и вес (77 кг). Отличие от модели KB 5000 в том, что в данной модели установлен электрический стартер для более комфортного и простого запуска. Гарантия составляет 2 года.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
;Zongshen;1T90DF600; Zongshen KB 6000 генератор бензиновый;zongshen-kb-6000-generator-benzinovyj;kb_6000_1.JPG;5,5;5;одна;бензиновый;32;нет;"Zongshen
GB 420
(420 cc)";Zongshen;79;70 х 53 х 59;2 года;счетчик моточасов + розетка (16A) + силовая розетка (32А) +  AVR + колеса для транспорт-ки в комплекте;39990;"Электрогенератор ZONGSHEN KB 6000 – бензиновый однофазный (1 фазный) генератор с максимальной мощностью 5,5 кВА. Силовым агрегатом данной модели является четырехтактный двигатель ZONGSHEN GB 420. Рама выполнена из высококачественной стали, которая служит не только для защиты двигателя, но и для удобной транспортировки электростанции. Объем топливного бака составляет 32 литра, что дает примерно 13 часов непрерывной работы в зависимости от нагрузки. Уровень шума при работе генератора составляет 74,5 дБ. Данная модель идеально подходит как для дома, так и для малого или среднего бизнеса. Оснащена транспортировочным комплектом с колесами, счетчиком мото-часов и 2-мя розетками (одна из которых - силовая, т.е. на 32А), имеет размер (70х53х59) см и вес (79 кг). Гарантия составляет 2 года.

Zongshen Industrial Group (Зонгшен Индастриал Групп) – один из самых крупных концернов в КНР – основан более 25 лет назад. Концерн состоит более чем из 50 предприятий (включая 2 собственных научно-исследовательских института) и развивается в производстве сразу нескольких групп техники: двигатели общего назначения, мотоциклы и квадроциклы, силовая продукция (генераторы и мотопомпы), мойки высокого давления, садовая техника (мотокультиваторы, мотоблоки, др.), подвесные лодочные моторы.

Благодаря высочайшему качеству продукции, непревзойденной надежности (вся техника, произведённая Zongshen Industrial Group, проходит как минимум 2 контрольные проверки на заводах), богатой функциональности и привлекательным ценам, продукция Zongshen (Зонгшен) завоевала доверие огромного числа потребителей не только в КНР, но и по всему миру.
Подтверждением вышесказанного является один неоспоримый факт: по объему реализации двигателей общего назначения концерн Zongshen по итогам первого полугодия 2017 года занял 3 место в мире, уступая лишь 2-м грандам: Briggs & Stratton (США) и Honda (Япония)."
